Reference Text (Word/Phrase)|Definition/Translation|Pronunciation (English)|IPA Pronunciation|Image Description|Image Filename|Basic Grammar
ἄρτος|bread|ar-tos|/ˈɑːrtos/|||Masculine noun, singular form
βῆμα|step, pace, measure; (metaphorically) progress, advance|bee-mah|/ˈbiː.mɑː/|||Masculine noun; singular form
βίβλος|Book, scroll, or document; by extension, a book.|VEE-blos|/ˈvɪblɒs/|||N, neuter
δύναμις|power, ability, force, strength, might, energy, effectiveness, capability|doo-NAH-miss|ˈduːnɑːmɪs|||Noun, feminine.
δῶρον|gift, present, donation, present, gratuity|DO-ron|ˈdɔːron|||Masculine noun, singular nominative.
ἔργον|work, deed, action, task, business, creation, product, effect|er-gon|ˈer.ɡon|||Masculine noun (ἔργον, ἔργου, τῷ ἔργῳ, τὸν ἔργον)
ἔτος|year; age; time|EH-tos|/ˈɛtɒs/|||Masculine noun, nominative singular
θάλασσα|sea, ocean|THA-las-sah|θálassa|||Noun, feminine
θάνατος|death|thanatos|θána.tos|||Masculine noun (ὁ θάνατος)
θεός|god, deity|theh-OS|ˈθeoːs|||Masculine noun, nominative singular
καρδία|heart, mind, soul; also, courage, spirit|KAR-dee-ah|/ˈkardi.a/|||Noun, feminine
κρίσις|crisis, decision, judgment, critical examination|KREE-sis|/ˈkriːsɪs/|||Noun, feminine
λαός|people, nation, tribe, folk; a multitude, the common people|lah-os|/ˈla.os/|||Masculine noun, singular.  Can also be used in the plural (λαοί).
λόγος|word, speech, reason, logic, account, argument, explanation, discourse, principle, order, plan|LOG-os|/ˈlɒɡɒs/|||Masculine noun. Can function as a common noun (word, speech) or a philosophical concept (reason, logic).
μάθημα|lesson, subject, mathematics|mah-thee-mah|ˈmatʰima|||Masculine noun; can refer to a lesson, a subject studied, or mathematics itself.
ὄνομα|name|OH-noh-mah|ˈno.ma|||Noun, masculine
οἶκος|house, household, family, lineage, dwelling, property, estate|oy-kos|/ˈɔɪ.kɒs/|||Masculine noun; a fundamental term in ancient Greek society reflecting the central role of the family and its property.
οὐρανός|sky, heaven, the heavens, ether, firmament|oo-rah-nohs|uːˈrɑːnos|||Masculine noun, nominative singular
πλοῖον|ship, vessel|plo-ee-on|/ˈploː.i.ɔn/|||noun, neuter
πνεῦμα|spirit, breath, air, wind; also, soul, life, energy, mind, a divine or animating principle|noo-mah|/ˈnuːmɑː/|||Masculine noun, ὁ πνεῦμα (ho pneûma), τοῦ πνεύματος (toû pneúmatos), τῷ πνεύματι (tō pneumáti)
πρόσωπον|face, appearance, person, character, role|PRO-so-pon|/ˈprɔːsɔpən/|||Masculine noun; singular and plural forms exist.
ῥῆμα|word, saying, command, decree|REE-mah|/ˈriː.mɑː/|||Masculine noun, nominative singular ῥῆμα
σάρξ|flesh, body, carnal nature, worldly existence|sahrks|/ˈsɑːrks/|||Noun, feminine
τέκνον|child, offspring, pupil, descendant|TEK-non|ˈtek.non|||Masculine noun, singular form.  Often used to denote a person under one's care or responsibility.
τύπος|type, model, impression, form, pattern|TOO-pos|ˈtu.pos|||Masculine noun
ὕδωρ|water|hoo-dor|/ˈhuːdɔːr/|||Noun, neuter gender
ὕψος|height, depth, intensity, degree|oop-sohs|ˈupsos|||Masculine noun (oῦpsos)
φωνή|voice, sound, tone|fo-NEE|/ˈfoʊni/|||Noun, feminine
φύσις|Nature, origin, growth, development, essence, character, disposition; sometimes used to mean 'natural' or 'in accordance with nature'.|FOO-sis|ˈfuːsɪs|||Noun, feminine
ψευδός|lie, falsehood, untruth|pseu-dos|ˈpsɛʊdos|||masculine noun
